,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
13382,7.0,80.0,1993-02-01,2.5,5.144555,1993-04-01,127.469574
13383,7.0,80.0,1993-02-01,3.5,10.657011,1993-05-01,435.90488
13384,7.0,80.0,1993-02-01,4.5,9.829401,1993-06-01,185.26366
13385,7.0,80.0,1993-02-01,5.5,6.889425,1993-07-01,164.74069
13386,7.0,80.0,1993-02-01,6.5,4.6848383,1993-08-01,53.831776
13387,7.0,80.0,1993-02-01,7.5,3.524582,1993-09-01,170.62268
13388,7.0,80.0,1993-02-01,8.5,4.392166,1993-10-01,414.66095
13389,7.0,80.0,1993-02-01,9.5,4.381237,1993-11-01,281.48734
13390,7.0,80.0,1993-02-01,10.5,5.88908,1993-12-01,196.96489
13391,7.0,80.0,1993-02-01,11.5,3.469154,1994-01-01,108.47522
13392,7.0,80.0,1993-03-01,0.5,2.528437,1993-03-01,75.33576
13393,7.0,80.0,1993-03-01,1.5,5.537238,1993-04-01,127.469574
13394,7.0,80.0,1993-03-01,2.5,11.657522,1993-05-01,435.90488
13395,7.0,80.0,1993-03-01,3.5,10.961302,1993-06-01,185.26366
13396,7.0,80.0,1993-03-01,4.5,6.8485856,1993-07-01,164.74069
13397,7.0,80.0,1993-03-01,5.5,4.9627495,1993-08-01,53.831776
13398,7.0,80.0,1993-03-01,6.5,3.8616269,1993-09-01,170.62268
13399,7.0,80.0,1993-03-01,7.5,4.532131,1993-10-01,414.66095
13400,7.0,80.0,1993-03-01,8.5,6.568551,1993-11-01,281.48734
13401,7.0,80.0,1993-03-01,9.5,5.632099,1993-12-01,196.96489
13402,7.0,80.0,1993-03-01,10.5,3.4716327,1994-01-01,108.47522
13403,7.0,80.0,1993-03-01,11.5,1.8402307,1994-02-01,139.01837
13404,7.0,80.0,1993-04-01,0.5,3.4220288,1993-04-01,127.469574
13405,7.0,80.0,1993-04-01,1.5,9.369183,1993-05-01,435.90488
13406,7.0,80.0,1993-04-01,2.5,12.641317,1993-06-01,185.26366
13407,7.0,80.0,1993-04-01,3.5,9.207235,1993-07-01,164.74069
13408,7.0,80.0,1993-04-01,4.5,6.171263,1993-08-01,53.831776
13409,7.0,80.0,1993-04-01,5.5,3.4851928,1993-09-01,170.62268
13410,7.0,80.0,1993-04-01,6.5,5.3079786,1993-10-01,414.66095
13411,7.0,80.0,1993-04-01,7.5,6.025458,1993-11-01,281.48734
13412,7.0,80.0,1993-04-01,8.5,5.82882,1993-12-01,196.96489
13413,7.0,80.0,1993-04-01,9.5,3.6327724,1994-01-01,108.47522
13414,7.0,80.0,1993-04-01,10.5,1.8249241,1994-02-01,139.01837
13415,7.0,80.0,1993-04-01,11.5,1.8062063,1994-03-01,73.5771
13416,7.0,80.0,1993-05-01,0.5,9.267945,1993-05-01,435.90488
13417,7.0,80.0,1993-05-01,1.5,12.5580225,1993-06-01,185.26366
13418,7.0,80.0,1993-05-01,2.5,9.952489,1993-07-01,164.74069
13419,7.0,80.0,1993-05-01,3.5,6.569565,1993-08-01,53.831776
